C30ECK10	C30ECK11	C30ECK12	C30ECK46	C30ECK47	C30ECK48	C30ECK83	C30ECK84	T30ECK28	T30ECK29	T30ECK64	T30ECK65	T30ECK66	T30ECK100	T30ECK101	T30ECK102
LOC100741485	6.77167447769552	7.23232203943168	7.37727189275661	6.92525628470558	7.00302717251167	6.7612470508395	7.08569017242704	6.69507604527687	6.96994976471179	7.01287913281547	6.78730107814091	6.95474418009768	6.58295385260761	6.88041575817165	6.69514602691416	6.89944603280539
LOC112214042	5.81156006937461	5.55508338693567	6.22925233708703	5.92370860147066	6.12012438552556	6.56863903158496	7.18623848433461	5.91693595598157	6.57316091279002	6.04841901933263	6.76195607013326	5.97453361504673	6.65647278169063	5.84407544277746	5.80924615314571	6.77204866457591
LOC100741605	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788
LOC100741724	5.86322212932127	5.75838778957108	5.87333630831966	5.51324647934184	5.5706182334157	5.32762157097321	6.02315851685998	5.94871239684773	6.0290209995813	5.91644661931581	5.84650727499121	5.79415089409198	5.80115731132475	5.41244129007255	5.52473030210102	5.63244551723258
LOC100741961	8.86941855477157	8.73846195084026	8.85455812950136	8.71564680885441	8.80576098195984	8.99570888546337	8.93430379568449	8.92933949727259	8.90904187996307	8.96476273773227	8.90812976822007	8.88879830141746	8.54822235372272	8.84941145370647	8.72942303256544	8.60545256349873
LOC100742082	8.03957459849742	7.48236437192951	7.60852510896044	7.5253019861808	7.82746601062119	7.67303375807147	8.05632644250906	7.71706701094573	7.68492231999983	7.61325621713229	7.93596102782371	7.35099734914506	7.56108350158733	7.4838509141338	7.44021870766735	7.79658849327323
LOC100741842	10.0727895685097	10.1401997475125	10.4031783237061	9.9160156707737	9.95699961620521	10.1538464549251	10.1350184046041	10.3933704506435	9.92464394560691	10.0542805805995	9.968368116007	9.72424680631742	9.81764521612528	9.79249147622698	10.1267400599849	10.0042390837408
LOC100742284	5.46798320659303	5.4342763408332	5.93741324215919	5.26090392984397	5.25159992414662	5.32762157097321	5.33467110862794	5.74245602785746	5.68670305641114	5.41571304717273	5.27605719421544	5.57616011203114	5.58591576956811	5.36906102898494	5.52473030210102	5.5596311266129
LOC105682175	5.72901102001508	5.72724745747246	5.47553844423103	5.39666721131451	5.67883019149101	5.4363323750788	5.68360508996734	5.62171664771457	5.64074637629741	5.41571304717273	5.63767300758934	5.47297811083318	5.64423274002763	5.5307988719417	5.36383578875059	5.85220705599202
LOC100742407	6.7836485550057	6.80319586643859	6.51671738834208	6.6608925023303	6.69438329382314	6.60474959122801	6.65223816333059	6.87102047907936	6.50845985542926	6.75546237340892	6.56946934167269	6.34304032545268	6.27038799097872	6.60972546816776	6.64105760347806	6.42181039730466
LOC100743483	7.87056640220279	8.12438792497941	7.76644198001851	8.11201059106709	7.94346852807729	7.86116693824536	7.42331798372811	7.80383686641603	7.5478776975665	7.7576799582919	7.97384152986811	8.00114978081863	7.95547454518222	7.8291785410622	7.8210629921642	7.91857358018938
LOC117151210	5.67005122725095	5.51659017118754	5.10602623621807	5.35395060819934	5.5706182334157	5.56274989523387	5.38667518192677	5.37817510771428	5.30309181067392	5.55882167839272	5.67025739049502	5.13919568420358	4.83613287499787	5.10475947057814	5.6613373125614	5.63244551723258
LOC100742532	6.13121756874914	6.3240583129161	6.35225432051737	5.94771810995762	6.20812984593521	6.06532794649926	6.30553022528172	5.97961375508791	6.12325727554765	6.22196135767676	5.97404157215183	5.7125275668307	6.02027270302247	6.30434015155693	6.03293024243821	5.93403538991475
LOC100743606	6.6188483090536	6.85400244923484	6.77274082315661	6.77543971970299	6.9914831146138	6.80276239763433	6.44445111964354	6.5118123219778	6.463445272522	6.55125604111206	6.77468883787428	6.77476308480242	6.60792267035356	6.58079451977462	6.8453053975019	6.60107190830265
LOC100743722	7.57527402842565	7.81785798636806	7.58528550055418	7.51822188502222	7.52338599173981	8.16441658057185	7.80298651731654	7.81905688750629	7.45214726891017	7.50117890323352	8.11117319304989	7.04367381948717	7.48528324313062	7.31609901546208	7.40130755141454	7.67701914452386
LOC100743841	4.73643925255332	5.24022277236884	5.33273818861828	4.94992874617611	4.97796899598429	4.98365758923847	4.44813904355788	4.44813904355788	5.05703753351697	4.93867773860781	4.86633617696096	4.93910234628737	4.99521654722345	5.22245846832862	5.26982923149304	4.97258713475482
LOC100743959	7.91342258689935	8.31203437078585	9.31197475389217	7.87937452575691	7.925771223799	8.06071567844396	9.74931499561438	8.10591832629428	7.97106781899955	8.25047447460859	8.00029382262091	7.95703801296421	7.5975022096895	7.55000967160419	7.76126077146013	7.28812504657448
LOC105681035	6.44573062495613	6.46573146061239	7.54366803058487	6.46002928184685	6.32922454756989	6.45382883998158	8.51813938118318	6.62482672309986	6.57316091279002	6.68255110283299	7.00685633076399	6.18687528519051	6.47796788543496	6.37502482465005	6.72138033191429	6.23338881281098
LOC100744077	6.8645924052289	6.97321539878591	6.7514162115817	7.54633040663312	7.5312573456045	7.32971907540466	6.72991676307392	6.29796321789559	7.07507048714563	7.27035676478342	7.46530303749673	6.21432748821192	7.45907719269266	5.99523916064858	6.39891273709808	6.94720988752846
LOC100744191	6.2452304516847	6.89088439070573	6.77274082315661	5.99425232233521	6.07355052672236	6.17049300701916	6.04943523777331	6.45136138314392	5.64074637629741	5.93954056709234	6.15234908273243	5.7125275668307	5.89408172213824	5.69959724275711	6.20066932825043	5.88016635512321
LOC100742649	7.02322823468014	6.84148016966346	6.97828466595685	6.57858504510794	6.76481466914561	6.77174773404021	6.95183555362995	6.67786233970329	6.44032904182377	6.99320398819135	6.65543611255501	6.6653044962508	6.47796788543496	6.08585210684477	6.58464088932607	6.50640121159967
LOC100742768	9.60308341426204	9.12778278042354	8.86414335860375	8.6721618846771	8.82487579090816	9.23882340610689	9.28887502645189	9.39247434147416	8.64007929983123	8.96230354362891	9.05589519266055	7.8881901678232	8.9979737629469	8.37521928825807	8.61998897865589	8.36619380995918
LOC100744309	4.73643925255332	4.44813904355788	4.71865706141982	4.73881805322046	4.75517867243763	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.93867773860781	4.86633617696096	4.44813904355788	4.44813904355788	4.74381199985246	4.74208426633533	4.44813904355788
LOC117151204	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788
LOC100740243	4.44813904355788	4.44813904355788	4.71865706141982	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788
LOC105680515	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788
LOC117152218	4.44813904355788	4.44813904355788	4.71865706141982	4.73881805322046	4.44813904355788	4.9125708039993	4.44813904355788	4.44813904355788	4.80141848044921	4.44813904355788	4.44813904355788	4.79613590045791	4.83613287499787	4.44813904355788	4.44813904355788	4.87712859113276
LOC100740363	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788
LOC100744792	9.3460060090612	9.08994798961143	9.05193851627649	8.85268691815626	9.03910167255652	8.85795166553088	9.36769536348688	9.13038128587819	9.00098220740794	9.06900216771494	9.06589068913832	9.2147736424114	9.17119744445578	9.0128098695402	9.25117736174492	8.79468798554482
LOC100744673	4.73643925255332	4.97036117261653	4.44813904355788	4.44813904355788	4.75517867243763	4.71704872988504	4.76588765937374	5.02375499102227	5.05703753351697	4.73225856919264	4.95943883743184	5.13919568420358	5.11620613933623	4.44813904355788	4.44813904355788	4.75203707643174
LOC100744553	4.44813904355788	4.44813904355788	4.71865706141982	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788	4.44813904355788
LOC117152235	4.44813904355788	4.44813904355788	4.98683313905956	4.44813904355788	4.44813904355788	4.71704872988504	5.07986255028584	4.44813904355788	4.80141848044921	4.84930071092915	4.44813904355788	5.04801877317157	4.44813904355788	4.86555841648341	4.74208426633533	4.75203707643174
LOC100744431	9.51607434568636	10.1803132817987	9.95456627763828	10.6001181648679	9.89064022830234	10.4623382116985	10.1377449286346	10.5001405936914	11.0376404840467	10.3218355848855	9.87350184801187	11.2640730771581	10.8440835422073	11.160123203582	10.8109965081246	11.2594426027032
LOC100744916	6.00506689684186	6.5779635774652	6.27682718624571	5.76740312725099	5.77643851406379	6.21979449801901	6.02315851685998	6.00969547866177	6.65470425596085	6.49478247675557	5.73240371660598	5.57616011203114	5.75146861454238	6.5209232935509	6.1405142342237	5.85220705599202
LOC100740482	5.54031192115253	5.62762977506496	5.59832411364919	5.58331166555659	5.5706182334157	5.77413245692472	5.60796346668528	6.03900740591967	6.15306525724309	5.49013892008301	5.6039645273695	6.0392492398121	5.64423274002763	6.06385403474405	5.93901349784626	6.12707333951037
