C30ECK10	C30ECK11	C30ECK12	C30ECK46	C30ECK47	C30ECK48	C30ECK83	C30ECK84	T30ECK28	T30ECK29	T30ECK64	T30ECK65	T30ECK66	T30ECK100	T30ECK101	T30ECK102
LOC100742407	6.78364855497366	6.80319586640691	6.51671738830478	6.66089250229592	6.69438329378942	6.60474959119252	6.65223816329605	6.87102047904891	6.5084598553918	6.75546237337636	6.56946934163648	6.34304032541163	6.27038799093601	6.60972546813237	6.6410576034433	6.42181039726534
LOC100743483	7.87056640218626	8.12438792496536	7.76644198000085	8.11201059105292	7.94346852806151	7.86116693822873	7.42331798370625	7.80383686639879	7.54787769754626	7.75767995827415	7.97384152985264	8.00114978080342	7.95547454516656	7.82917854104523	7.82106299214715	7.91857358017335
LOC117151210	5.67005122719282	5.51659017112498	5.10602623614292	5.35395060813192	5.57061823335472	5.56274989517266	5.38667518186035	5.3781751076476	5.30309181060495	5.5588216783314	5.67025739043689	5.13919568412948	4.83613287491395	5.10475947050294	5.66133731250302	5.63244551717338
LOC100742532	6.13121756870314	6.32405831287462	6.35225432047652	5.94771810990701	6.20812984589105	6.06532794645163	6.30553022523981	5.97961375503812	6.12325727550145	6.22196135763292	5.9740415721019	5.71252756677376	6.02027270297371	6.304340151515	6.03293024238977	5.93403538986378
LOC100743606	6.61884830901839	6.85400244920408	6.77274082312437	6.7754397196708	6.99148311458543	6.80276239760264	6.44445111960471	6.5118123219404	6.46344527248358	6.55125604107548	6.77468883784207	6.77476308477022	6.60792267031814	6.58079451973865	6.84530539747099	6.60107190826708
LOC100743722	7.57527402840575	7.81785798635097	7.5852855005344	7.5182218850016	7.52338599171926	8.16441658055815	7.8029865172993	7.81905688748921	7.45214726888869	7.50117890321269	8.11117319303571	7.04367381945966	7.48528324310958	7.31609901543874	7.40130755139238	7.67701914450519
LOC100743841	4.7364392524661	5.24022277229791	5.33273818855021	4.94992874609592	4.97796899590501	4.98365758915938	4.44813904346102	4.44813904346102	5.05703753344024	4.93867773852725	4.86633617687803	4.93910234620683	4.99521654714473	5.22245846825714	5.26982923142303	4.97258713467537
LOC100743959	7.91342258688327	8.3120343707734	9.31197475388574	7.87937452574047	7.92577122378304	8.06071567842932	9.74931499560959	8.10591832628006	7.97106781898404	8.25047447459563	8.00029382260569	7.95703801294857	7.59750220966987	7.55000967158398	7.76126077144242	7.28812504655074
LOC105681035	6.44573062491733	6.46573146057402	7.54366803056458	6.46002928180836	6.32922454752853	6.45382883994295	8.51813938117229	6.62482672306477	6.57316091275389	6.68255110279904	7.00685633073588	6.18687528514584	6.47796788539685	6.37502482460971	6.72138033188108	6.23338881276741
LOC100744077	6.86459240519833	6.97321539875723	6.75141621154907	7.54633040661287	7.53125734558405	7.32971907538151	6.72991676304087	6.29796321785352	7.07507048711864	7.27035676475942	7.46530303747543	6.2143274881679	7.45907719267127	5.99523916059918	6.39891273705827	6.94720988749934
LOC100744191	6.24523045164141	6.89088439067563	6.77274082312437	5.99425232228579	6.07355052667493	6.1704930069741	6.04943523772528	6.45136138310524	5.64074637623845	5.93954056704152	6.15234908268693	5.71252756677376	5.89408172208623	5.6995972426998	6.20066932820609	5.88016635507083
LOC100742649	7.0232282346523	6.84148016963248	6.97828466592826	6.57858504507192	6.76481466911322	6.77174773400795	6.95183555360091	6.67786233966924	6.44032904178486	6.99320398816301	6.65543611252053	6.66530449621651	6.47796788539685	6.08585210679766	6.58464088929017	6.50640121156216
LOC100742768	9.60308341425675	9.12778278041626	8.86414335859508	8.67216188466726	8.82487579089926	9.23882340610014	9.28887502644536	9.39247434146806	8.64007929982118	8.96230354362079	9.05589519265291	7.88819016780685	8.99797376293897	8.37521928824611	8.61998897864571	8.36619380994715
LOC100744309	4.7364392524661	4.44813904346102	4.718657061332	4.73881805313332	4.75517867235103	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.93867773852725	4.86633617687803	4.44813904346102	4.44813904346102	4.74381199976549	4.7420842662483	4.44813904346102
LOC117151204	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102
LOC100740243	4.44813904346102	4.44813904346102	4.718657061332	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102
LOC105680515	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102
LOC117152218	4.44813904346102	4.44813904346102	4.718657061332	4.73881805313332	4.44813904346102	4.91257080391789	4.44813904346102	4.44813904346102	4.80141848036414	4.44813904346102	4.44813904346102	4.79613590037267	4.83613287491395	4.44813904346102	4.44813904346102	4.87712859105019
LOC100740363	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102
LOC100744792	9.34600600905491	9.08994798960397	9.05193851626884	8.85268691814752	9.03910167254881	8.85795166552217	9.36769536348069	9.13038128587093	9.00098220740002	9.06900216770737	9.06589068913073	9.21477364240453	9.17119744444872	9.01280986953235	9.25117736173822	8.79468798553574
LOC100744673	4.7364392524661	4.97036117253701	4.44813904346102	4.44813904346102	4.75517867235103	4.71704872979717	4.76588765928749	5.02375499094447	5.05703753344024	4.73225856910528	4.95943883735196	5.13919568412948	5.1162061392614	4.44813904346102	4.44813904346102	4.75203707634504
LOC100744553	4.44813904346102	4.44813904346102	4.718657061332	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102
LOC117152235	4.44813904346102	4.44813904346102	4.98683313898057	4.44813904346102	4.44813904346102	4.71704872979717	5.07986255020985	4.44813904346102	4.80141848036414	4.84930071084566	4.44813904346102	5.04801877309456	4.44813904346102	4.86555841640046	4.7420842662483	4.75203707634504
LOC100744431	9.51607434568075	10.1803132817952	9.95456627763411	10.6001181648653	9.89064022829799	10.4623382116956	10.137744928631	10.5001405936885	11.0376404840448	10.3218355848823	9.87350184800747	11.2640730771563	10.844083542205	11.1601232035801	10.8109965081222	11.2594426027015
LOC100744916	6.00506689679272	6.57796357742917	6.27682718620315	5.76740312719556	5.77643851400861	6.21979449797512	6.02315851681129	6.00969547861275	6.65470425592636	6.49478247671782	5.73240371654959	5.57616011197033	5.75146861448652	6.5209232935137	6.14051423417793	5.85220705593889
LOC100740482	5.54031192109067	5.62762977500562	5.59832411358902	5.58331166549598	5.57061823335472	5.77413245686947	5.60796346662538	6.03900740587138	6.15306525719761	5.49013892001968	5.60396452730948	6.03924923976382	5.64423273996876	6.06385403469638	5.93901349779542	6.12707333946426
LOC100740602	8.36228321555715	7.93138330665067	7.65388384261052	8.35979193103383	8.55400185889611	7.55392073758357	7.50276146733784	7.95603625726098	7.96342610875792	7.64458871319521	8.20952462918471	8.17151230918212	8.27124636368644	7.82327519088867	8.1443438502879	7.61320692695514
LOC117152151	6.53518961302397	6.6669961200787	6.11038359020635	6.91430582250688	7.0812102037309	6.32763002862785	5.85123631158591	6.71206816917577	6.21054342089202	6.22196135763292	6.93005810375997	6.95474418006869	6.91545422908377	6.5209232935137	6.6818308445689	6.29297814348081
LOC112212586	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.76588765928749	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.79613590037267	4.44813904346102	4.44813904346102	4.7420842662483	4.44813904346102
LOC100745159	4.85518440278916	4.75073790146284	4.44813904346102	4.85853184125348	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.7420842662483	4.44813904346102
